R2,130.55,19.88,90.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R2_EP_DR,114.31,37.11,270.00,10K,CPF0201D7K68C1_0201
R2_USB,119.38,40.26,270.00,5K1,ERA-1AEB3401C_0201
R3,121.00,24.62,89.80,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R4,130.21,20.41,90.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R5,112.64,13.61,90.00,10k,CPF0201D7K68C1_0201
R7,130.81,13.99,180.00,10k,CPF0201D7K68C1_0201
R8,119.19,13.58,0.00,10k,CPF0201D7K68C1_0201
R9,126.41,21.32,90.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,113.91,24.52,180.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,118.34,20.98,0.00,2.2,CPF0201D7K68C1_0201
SJ1,114.95,20.38,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,132.72,11.80,180.10,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,121.47,11.60,180.00,SW_ENT,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,110.49,11.60,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1,135.62,15.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP2,138.73,28.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP3,142.88,30.16,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP4,138.54,15.74,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP5,132.99,38.01,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP6,140.21,11.33,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,115.03,18.26,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,142.93,16.91,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,127.81,10.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,124.56,16.87,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,119.18,22.34,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,124.92,22.81,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,127.42,12.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,128.66,17.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,130.06,28.94,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,120.77,15.47,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,135.31,31.31,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,116.23,27.24,180.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
